day,open,high,low,close,volume
2022-05-13,1.860,1.870,1.830,1.850,298912769
2022-05-16,1.860,1.880,1.840,1.860,268731039
2022-05-17,1.860,1.880,1.840,1.880,337931060
2022-05-18,1.870,1.880,1.850,1.860,280824553
2022-05-19,1.830,1.860,1.810,1.860,389417304
2022-05-20,1.860,1.910,1.860,1.900,573821942
2022-05-23,1.920,2.090,1.900,2.090,1332313840
2022-05-24,2.090,2.160,2.050,2.050,1467055518
2022-05-25,2.050,2.070,2.010,2.030,746085538
2022-05-26,2.030,2.040,1.960,2.010,669083973
2022-05-27,2.020,2.030,1.970,2.000,497581866
2022-05-30,2.010,2.040,1.980,2.000,434481645
2022-05-31,2.000,2.020,1.980,2.010,413057368
2022-06-01,2.010,2.020,1.980,2.000,361755314
2022-06-02,1.980,2.090,1.980,2.070,815489167
2022-06-06,2.050,2.140,2.040,2.130,875897262
2022-06-07,2.120,2.130,2.080,2.090,594434549
2022-06-08,2.090,2.150,2.080,2.140,797366136
2022-06-09,2.130,2.170,2.110,2.110,602451098
2022-06-10,2.090,2.150,2.080,2.140,810516137
2022-06-13,2.120,2.190,2.110,2.160,790459377
2022-06-14,2.130,2.170,2.100,2.170,629027443
2022-06-15,2.160,2.180,2.120,2.140,568610736
2022-06-16,2.130,2.190,2.120,2.120,593975573
2022-06-17,2.100,2.140,2.090,2.130,470314264
2022-06-20,2.120,2.140,2.100,2.100,410333146
2022-06-21,2.110,2.310,2.090,2.230,1860840774
2022-06-22,2.270,2.450,2.250,2.450,2321916967
2022-06-23,2.470,2.570,2.360,2.450,2694188174
2022-06-24,2.400,2.690,2.390,2.640,2480146918
2022-06-27,2.670,2.710,2.590,2.650,1817037079
2022-06-28,2.650,2.660,2.470,2.510,1723308413
2022-06-29,2.470,2.490,2.360,2.370,1131144749
2022-06-30,2.380,2.430,2.330,2.350,936865292
2022-07-01,2.330,2.540,2.290,2.490,1324844497
2022-07-04,2.450,2.480,2.400,2.410,822351169
2022-07-05,2.370,2.520,2.350,2.440,1083544191
2022-07-06,2.400,2.420,2.350,2.370,696791371
2022-07-07,2.350,2.420,2.350,2.370,549465202
2022-07-08,2.380,2.410,2.350,2.360,481919276
2022-07-11,2.350,2.360,2.250,2.280,670296509
2022-07-12,2.270,2.310,2.250,2.260,430817984
2022-07-13,2.260,2.280,2.240,2.260,359243168
2022-07-14,2.250,2.260,2.200,2.220,487601892
2022-07-15,2.150,2.210,2.110,2.130,658961616
2022-07-18,2.090,2.170,2.070,2.160,519926377
2022-07-19,2.160,2.250,2.150,2.180,574035627
2022-07-20,2.180,2.210,2.160,2.170,368297337
2022-07-21,2.160,2.230,2.140,2.180,581598510
2022-07-22,2.170,2.190,2.130,2.140,389057077
2022-07-25,2.140,2.170,2.130,2.140,273558978
2022-07-26,2.140,2.170,2.130,2.160,248955743
2022-07-27,2.150,2.180,2.130,2.160,318712706
2022-07-28,2.160,2.210,2.160,2.190,476317558
2022-07-29,2.210,2.320,2.210,2.260,833039827
2022-08-01,2.230,2.240,2.170,2.190,468760238
2022-08-02,2.160,2.170,2.070,2.100,622023723
2022-08-03,2.090,2.170,2.080,2.120,527926191
2022-08-04,2.120,2.140,2.090,2.110,323806314
2022-08-05,2.110,2.150,2.090,2.140,411139407
